[Fri Sep  6 01:51:28.564 2024] [95] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 193: duplicate map-from part
[Fri Sep  6 01:51:28.564 2024] [95] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 199: duplicate map-from part
[Fri Sep  6 01:51:28.564 2024] [95] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 241: duplicate map-from part
[Fri Sep  6 01:51:28.565 2024] [95] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 358: duplicate map-from part
[Fri Sep  6 01:51:28.565 2024] [95] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 621: duplicate map-from part
[Fri Sep  6 01:51:28.566 2024] [95] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 636: duplicate map-from part
[Fri Sep  6 01:51:28.570 2024] [97] binlog: replaying log /var/lib/manticore/binlog.001
[Fri Sep  6 01:51:28.570 2024] [97] binlog: replay stats: 0 commits; 0 updates, 0 reconfigure; 0 pq-add; 0 pq-delete; 0 pq-add-delete, 0 tables
[Fri Sep  6 01:51:28.570 2024] [97] binlog: finished replaying /var/lib/manticore/binlog.001; 0.0 MB in 0.000 sec
[Fri Sep  6 01:51:28.570 2024] [97] binlog: finished replaying total 1 in 0.000 sec
[Fri Sep  6 01:51:28.571 2024] [99] prereading 3 tables
[Fri Sep  6 01:51:28.571 2024] [1] WARNING: [BUDDY] no SPHINX or HTTP listeners found, disabled
[Fri Sep  6 01:51:28.571 2024] [1] accepting connections
[Fri Sep  6 01:51:28.572 2024] [99] preread 3 tables in 0.001 sec
[Fri Sep  6 01:52:29.910 2024] [1] caught SIGTERM, shutting down
[Fri Sep  6 01:52:29.921 2024] [1] shutdown daemon version '6.3.2 c296dc7c8@24062606 (columnar 2.3.0 88a01c3@24052206) (secondary 2.3.0 88a01c3@24052206) (knn 2.3.0 88a01c3@24052206)' ...
[Fri Sep  6 01:52:29.921 2024] [1] shutdown complete
[Fri Sep  6 01:52:36.273 2024] [1] Using local time zone '/etc/localtime'
[Fri Sep  6 01:52:36.274 2024] [1] starting daemon version '6.3.2 c296dc7c8@24062606 (columnar 2.3.0 88a01c3@24052206) (secondary 2.3.0 88a01c3@24052206) (knn 2.3.0 88a01c3@24052206)' ...
[Fri Sep  6 01:52:36.274 2024] [1] listening on all interfaces for mysql, port=9306
[Fri Sep  6 01:52:36.290 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 167: duplicate map-from part
[Fri Sep  6 01:52:36.290 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 191: duplicate map-from part
[Fri Sep  6 01:52:36.290 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 192: duplicate map-from part
[Fri Sep  6 01:52:36.290 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 193: duplicate map-from part
[Fri Sep  6 01:52:36.291 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 199: duplicate map-from part
[Fri Sep  6 01:52:36.291 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 241: duplicate map-from part
[Fri Sep  6 01:52:36.291 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 358: duplicate map-from part
[Fri Sep  6 01:52:36.292 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 621: duplicate map-from part
[Fri Sep  6 01:52:36.292 2024] [96] WARNING: /etc/manticoresearch/synonyms/synonyms.txt line 636: duplicate map-from part
[Fri Sep  6 01:52:36.296 2024] [98] binlog: replaying log /var/lib/manticore/binlog.001
[Fri Sep  6 01:52:36.296 2024] [98] binlog: replay stats: 0 commits; 0 updates, 0 reconfigure; 0 pq-add; 0 pq-delete; 0 pq-add-delete, 0 tables
[Fri Sep  6 01:52:36.296 2024] [98] binlog: finished replaying /var/lib/manticore/binlog.001; 0.0 MB in 0.000 sec
[Fri Sep  6 01:52:36.297 2024] [98] binlog: finished replaying total 1 in 0.000 sec
[Fri Sep  6 01:52:36.298 2024] [99] prereading 3 tables
[Fri Sep  6 01:52:36.298 2024] [1] WARNING: [BUDDY] no SPHINX or HTTP listeners found, disabled
[Fri Sep  6 01:52:36.298 2024] [1] accepting connections
[Fri Sep  6 01:52:36.300 2024] [99] preread 3 tables in 0.001 sec
[Fri Sep  6 01:54:17.271 2024] [1] caught SIGTERM, shutting down
[Fri Sep  6 01:54:17.285 2024] [1] shutdown daemon version '6.3.2 c296dc7c8@24062606 (columnar 2.3.0 88a01c3@24052206) (secondary 2.3.0 88a01c3@24052206) (knn 2.3.0 88a01c3@24052206)' ...
[Fri Sep  6 01:54:17.285 2024] [1] shutdown complete
[Fri Sep  6 01:54:23.428 2024] [1] Using local time zone '/etc/localtime'
